year,resource,variable,units,magnitude,source,data_value,flag
2007,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,86690,R
2007,Biogas,Generation,Gigawatt hours,Actual,MBIE,224,F
2007,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5201,R
2007,Coal,Generation,Gigawatt hours,Actual,MBIE,4786,F
2007,Gas,Generation,Gigawatt hours,Actual,MBIE,8634,F
2007,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1242291,R
2007,Geothermal,Generation,Gigawatt hours,Actual,MBIE,3210,F
2007,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.08,F
2007,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,74537,R
2007,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9383706,R
2007,Hydro,Generation,Gigawatt hours,Actual,MBIE,24249,F
2007,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.58,F
2007,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,563022,R
2007,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2007,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,11063169,R
2007,Renewable,Generation,Gigawatt hours,Actual,MBIE,28589,F
2007,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.68,F
2007,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,663790,R
2007,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.68,F
2007,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,326,F
2007,Solar,Generation,Gigawatt hours,Actual,MBIE,1,F
2007,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2007,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Solar,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,20,F
2007,Total generation,Generation,Gigawatt hours,Actual,MBIE,42083,F
2007,Total generation,Prices,Number,Average,Electricity Authority,60,F
2007,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,977086,R
2007,Waste heat,Generation,Gigawatt hours,Actual,MBIE,71,F
2007,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,233652,R
2007,Wind,Generation,Gigawatt hours,Actual,MBIE,604,F
2007,Wind,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Wind,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,14019,R
2007,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,116505,R
2007,Wood,Generation,Gigawatt hours,Actual,MBIE,301,F
2007,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Wood,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,6990,R
2008,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,83934,R
2008,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2008,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2008,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,86690,R
2008,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-2756,R
2008,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5036,R
2008,Coal,Generation,Gigawatt hours,Actual,MBIE,3245,F
2008,Gas,Generation,Gigawatt hours,Actual,MBIE,11551,F
2008,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1398360,R
2008,Geothermal,Generation,Gigawatt hours,Actual,MBIE,3417,F
2008,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.08,F
2008,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1242291,R
2008,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,156069,R
2008,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,83902,R
2008,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9255132,R
2008,Hydro,Generation,Gigawatt hours,Actual,MBIE,22616,F
2008,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2008,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9383706,R
2008,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-128574,R
2008,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,555308,R
2008,Oil,Generation,Gigawatt hours,Actual,MBIE,27,F
2008,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,11292208,R
2008,Renewable,Generation,Gigawatt hours,Actual,MBIE,27594,F
2008,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.65,F
2008,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,11063169,R
2008,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,229039,R
2008,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,677532,R
2008,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.65,F
2008,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1385,R
2008,Solar,Generation,Gigawatt hours,Actual,MBIE,3,F
2008,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2008,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,326,F
2008,Solar,Other changes,Dollars,Thousands,Environmental Accounts,1059,R
2008,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,83,F
2008,Total generation,Generation,Gigawatt hours,Actual,MBIE,42464,F
2008,Total generation,Prices,Number,Average,Electricity Authority,70,F
2008,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1042654,R
2008,Waste heat,Generation,Gigawatt hours,Actual,MBIE,47,F
2008,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,422457,R
2008,Wind,Generation,Gigawatt hours,Actual,MBIE,1032,F
2008,Wind,Gigawatt hours,Number,Proportion,MBIE,0.02,F
2008,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,233652,R
2008,Wind,Other changes,Dollars,Thousands,Environmental Accounts,188805,R
2008,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,25347,R
2008,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,130941,R
2008,Wood,Generation,Gigawatt hours,Actual,MBIE,320,F
2008,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2008,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,116505,R
2008,Wood,Other changes,Dollars,Thousands,Environmental Accounts,14436,R
2008,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,7856,R
2009,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,85598,R
2009,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2009,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2009,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,83934,R
2009,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,1664,R
2009,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5136,R
2009,Coal,Generation,Gigawatt hours,Actual,MBIE,4088,F
2009,Gas,Generation,Gigawatt hours,Actual,MBIE,9471,R
2009,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1749010,R
2009,Geothermal,Generation,Gigawatt hours,Actual,MBIE,4197,F
2009,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.1,F
2009,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1398360,R
2009,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,350650,R
2009,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,104941,R
2009,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9310094,R
2009,Hydro,Generation,Gigawatt hours,Actual,MBIE,22340,F
2009,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2009,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9255132,R
2009,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,54962,R
2009,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,558606,R
2009,Oil,Generation,Gigawatt hours,Actual,MBIE,98,F
2009,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,11733864,R
2009,Renewable,Generation,Gigawatt hours,Actual,MBIE,28156,F
2009,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.67,F
2009,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,11292208,R
2009,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,441656,R
2009,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,704032,R
2009,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.67,F
2009,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1440,R
2009,Solar,Generation,Gigawatt hours,Actual,MBIE,3,F
2009,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2009,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1385,R
2009,Solar,Other changes,Dollars,Thousands,Environmental Accounts,55,R
2009,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,86,F
2009,Total generation,Generation,Gigawatt hours,Actual,MBIE,41873,R
2009,Total generation,Prices,Number,Average,Electricity Authority,105,F
2009,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1047010,R
2009,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59,F
2009,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,454009,R
2009,Wind,Generation,Gigawatt hours,Actual,MBIE,1089,F
2009,Wind,Gigawatt hours,Number,Proportion,MBIE,0.03,F
2009,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,422457,R
2009,Wind,Other changes,Dollars,Thousands,Environmental Accounts,31552,R
2009,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,27241,R
2009,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,133713,R
2009,Wood,Generation,Gigawatt hours,Actual,MBIE,321,F
2009,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2009,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,130941,R
2009,Wood,Other changes,Dollars,Thousands,Environmental Accounts,2773,R
2009,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8023,R
2010,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,91103,R
2010,Biogas,Generation,Gigawatt hours,Actual,MBIE,221,F
2010,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2010,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,85598,R
2010,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,5504,R
2010,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5466,R
2010,Coal,Generation,Gigawatt hours,Actual,MBIE,3109,F
2010,Gas,Generation,Gigawatt hours,Actual,MBIE,8449,F
2010,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1929148,R
2010,Geothermal,Generation,Gigawatt hours,Actual,MBIE,4671,F
2010,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.11,F
2010,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1749010,R
2010,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,180138,R
2010,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,115749,R
2010,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9991724,R
2010,Hydro,Generation,Gigawatt hours,Actual,MBIE,24194,F
2010,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2010,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9310094,R
2010,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,681631,R
2010,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,599503,R
2010,Oil,Generation,Gigawatt hours,Actual,MBIE,9,F
2010,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,12811765,R
2010,Renewable,Generation,Gigawatt hours,Actual,MBIE,31022,F
2010,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.73,F
2010,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,11733864,R
2010,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,1077901,R
2010,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,768706,R
2010,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.73,F
2010,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1492,R
2010,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2010,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2010,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1440,R
2010,Solar,Other changes,Dollars,Thousands,Environmental Accounts,53,R
2010,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,90,R
2010,Total generation,Generation,Gigawatt hours,Actual,MBIE,42641,F
2010,Total generation,Prices,Number,Average,Electricity Authority,52,F
2010,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1056625,R
2010,Waste heat,Generation,Gigawatt hours,Actual,MBIE,51,F
2010,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,650783,R
2010,Wind,Generation,Gigawatt hours,Actual,MBIE,1576,F
2010,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2010,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,454009,R
2010,Wind,Other changes,Dollars,Thousands,Environmental Accounts,196774,R
2010,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,39047,R
2010,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,147515,R
2010,Wood,Generation,Gigawatt hours,Actual,MBIE,357,F
2010,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2010,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,133713,R
2010,Wood,Other changes,Dollars,Thousands,Environmental Accounts,13801,R
2010,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8851,R
2011,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,82598,R
2011,Biogas,Generation,Gigawatt hours,Actual,MBIE,215,F
2011,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2011,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,91103,R
2011,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-8505,R
2011,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,4956,R
2011,Coal,Generation,Gigawatt hours,Actual,MBIE,1635,F
2011,Gas,Generation,Gigawatt hours,Actual,MBIE,8853,R
2011,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2215070,R
2011,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5772,R
2011,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.13,F
2011,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1929148,R
2011,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,285922,R
2011,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,132904,R
2011,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9568100,R
2011,Hydro,Generation,Gigawatt hours,Actual,MBIE,24931,R
2011,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2011,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9991724,R
2011,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-423625,R
2011,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,574086,R
2011,Oil,Generation,Gigawatt hours,Actual,MBIE,1,F
2011,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,12624306,R
2011,Renewable,Generation,Gigawatt hours,Actual,MBIE,32895,R
2011,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.76,F
2011,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,12811765,R
2011,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-187459,R
2011,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,757458,R
2011,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.76,F
2011,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1483,R
2011,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2011,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2011,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1492,R
2011,Solar,Other changes,Dollars,Thousands,Environmental Accounts,-9,R
2011,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,89,R
2011,Total generation,Generation,Gigawatt hours,Actual,MBIE,43443,R
2011,Total generation,Prices,Number,Average,Electricity Authority,52,F
2011,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1000346,R
2011,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59,F
2011,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,629174,R
2011,Wind,Generation,Gigawatt hours,Actual,MBIE,1639,F
2011,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2011,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,650783,R
2011,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-21610,R
2011,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,37750,R
2011,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,127882,R
2011,Wood,Generation,Gigawatt hours,Actual,MBIE,333,F
2011,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2011,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147515,R
2011,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-19633,R
2011,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,7673,R
2012,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,91659,R
2012,Biogas,Generation,Gigawatt hours,Actual,MBIE,219,F
2012,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,82598,R
2012,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,9061,R
2012,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5500,R
2012,Coal,Generation,Gigawatt hours,Actual,MBIE,2327,F
2012,Gas,Generation,Gigawatt hours,Actual,MBIE,8316,R
2012,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2437685,R
2012,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5832,F
2012,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2012,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2215070,R
2012,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,222616,R
2012,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,146261,R
2012,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9994753,R
2012,Hydro,Generation,Gigawatt hours,Actual,MBIE,23913,R
2012,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.56,F
2012,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9568100,R
2012,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,426654,R
2012,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,599685,R
2012,Oil,Generation,Gigawatt hours,Actual,MBIE,2,F
2012,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13511024,R
2012,Renewable,Generation,Gigawatt hours,Actual,MBIE,32326,R
2012,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.75,F
2012,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,12624306,R
2012,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,886717,R
2012,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,810661,R
2012,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.75,F
2012,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1780,R
2012,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2012,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2012,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1483,R
2012,Solar,Other changes,Dollars,Thousands,Environmental Accounts,297,R
2012,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,107,R
2012,Total generation,Generation,Gigawatt hours,Actual,MBIE,43014,R
2012,Total generation,Prices,Number,Average,Electricity Authority,75,F
2012,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1078676,R
2012,Waste heat,Generation,Gigawatt hours,Actual,MBIE,42,F
2012,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,837255,R
2012,Wind,Generation,Gigawatt hours,Actual,MBIE,2003,F
2012,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2012,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,629174,R
2012,Wind,Other changes,Dollars,Thousands,Environmental Accounts,208081,R
2012,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,50235,R
2012,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,147892,R
2012,Wood,Generation,Gigawatt hours,Actual,MBIE,354,F
2012,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,127882,R
2012,Wood,Other changes,Dollars,Thousands,Environmental Accounts,20010,R
2012,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8874,R
