year,resource,variable,units,magnitude,source,data_value,flag
2013,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,89692,R
2013,Biogas,Generation,Gigawatt hours,Actual,MBIE,208,F
2013,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2013,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,91659,R
2013,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-1967,R
2013,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5382,R
2013,Coal,Generation,Gigawatt hours,Actual,MBIE,3248,F
2013,Gas,Generation,Gigawatt hours,Actual,MBIE,8335,R
2013,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2501124,R
2013,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5797,R
2013,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2013,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2437685,R
2013,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,63439,R
2013,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,150067,R
2013,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9798124,R
2013,Hydro,Generation,Gigawatt hours,Actual,MBIE,22710,R
2013,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2013,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9994753,R
2013,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-196630,R
2013,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,587887,R
2013,Oil,Generation,Gigawatt hours,Actual,MBIE,5,F
2013,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13410148,R
2013,Renewable,Generation,Gigawatt hours,Actual,MBIE,31082,R
2013,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.73,F
2013,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13511024,R
2013,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-100876,R
2013,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,804609,R
2013,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.73,F
2013,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,2153,R
2013,Solar,Generation,Gigawatt hours,Actual,MBIE,5,F
2013,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2013,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1780,R
2013,Solar,Other changes,Dollars,Thousands,Environmental Accounts,374,R
2013,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,129,F
2013,Total generation,Generation,Gigawatt hours,Actual,MBIE,42703,R
2013,Total generation,Prices,Number,Average,Electricity Authority,81,F
2013,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1105427,R
2013,Waste heat,Generation,Gigawatt hours,Actual,MBIE,33,F
2013,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,861885,R
2013,Wind,Generation,Gigawatt hours,Actual,MBIE,1998,F
2013,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2013,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,837255,R
2013,Wind,Other changes,Dollars,Thousands,Environmental Accounts,24630,R
2013,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,51713,R
2013,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,157169,R
2013,Wood,Generation,Gigawatt hours,Actual,MBIE,364,F
2013,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2013,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147892,R
2013,Wood,Other changes,Dollars,Thousands,Environmental Accounts,9277,R
2013,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,9430,R
2014,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,94161,R
2014,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2014,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2014,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,89692,R
2014,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,4469,R
2014,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5650,R
2014,Coal,Generation,Gigawatt hours,Actual,MBIE,2012,F
2014,Gas,Generation,Gigawatt hours,Actual,MBIE,7661,R
2014,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2884112,R
2014,Geothermal,Generation,Gigawatt hours,Actual,MBIE,6264,R
2014,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.15,F
2014,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2501124,R
2014,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,382988,R
2014,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,173047,R
2014,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,10678575,R
2014,Hydro,Generation,Gigawatt hours,Actual,MBIE,23194,R
2014,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.55,R
2014,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9798124,R
2014,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,880452,R
2014,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,640715,R
2014,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2014,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,14780283,R
2014,Renewable,Generation,Gigawatt hours,Actual,MBIE,32103,R
2014,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.77,F
2014,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13410148,R
2014,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,1370135,R
2014,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,886817,R
2014,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.77,F
2014,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,3887,R
2014,Solar,Generation,Gigawatt hours,Actual,MBIE,8,R
2014,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2014,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,2153,R
2014,Solar,Other changes,Dollars,Thousands,Environmental Accounts,1734,R
2014,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,233,F
2014,Total generation,Generation,Gigawatt hours,Actual,MBIE,41827,R
2014,Total generation,Prices,Number,Average,Electricity Authority,69,F
2014,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1155431,R
2014,Waste heat,Generation,Gigawatt hours,Actual,MBIE,48,F
2014,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,951681,R
2014,Wind,Generation,Gigawatt hours,Actual,MBIE,2067,F
2014,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2014,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,861885,R
2014,Wind,Other changes,Dollars,Thousands,Environmental Accounts,89796,R
2014,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,57101,R
2014,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,167865,R
2014,Wood,Generation,Gigawatt hours,Actual,MBIE,365,F
2014,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2014,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,157169,R
2014,Wood,Other changes,Dollars,Thousands,Environmental Accounts,10696,R
2014,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,10072,R
2015,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,103355,R
2015,Biogas,Generation,Gigawatt hours,Actual,MBIE,232,R
2015,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2015,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,94161,R
2015,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,9194,R
2015,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,6201,R
2015,Coal,Generation,Gigawatt hours,Actual,MBIE,2152,F
2015,Gas,Generation,Gigawatt hours,Actual,MBIE,6624,R
2015,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,3164219,R
2015,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7090,R
2015,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.17,F
2015,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2884112,R
2015,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,280107,R
2015,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,189853,R
2015,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,10591203,R
2015,Hydro,Generation,Gigawatt hours,Actual,MBIE,23732,R
2015,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.56,F
2015,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,10678575,R
2015,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-87373,R
2015,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,635472,R
2015,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2015,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,14982253,R
2015,Renewable,Generation,Gigawatt hours,Actual,MBIE,33572,R
2015,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.79,F
2015,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,14780283,R
2015,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,201970,R
2015,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,898935,R
2015,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.79,F
2015,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,9960,R
2015,Solar,Generation,Gigawatt hours,Actual,MBIE,22,F
2015,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2015,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,3887,R
2015,Solar,Other changes,Dollars,Thousands,Environmental Accounts,6073,R
2015,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,598,R
2015,Total generation,Generation,Gigawatt hours,Actual,MBIE,42398,R
2015,Total generation,Prices,Number,Average,Electricity Authority,74,F
2015,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1135271,R
2015,Waste heat,Generation,Gigawatt hours,Actual,MBIE,47,F
2015,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,957659,R
2015,Wind,Generation,Gigawatt hours,Actual,MBIE,2146,F
2015,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2015,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,951681,R
2015,Wind,Other changes,Dollars,Thousands,Environmental Accounts,5978,R
2015,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,57460,R
2015,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,155856,R
2015,Wood,Generation,Gigawatt hours,Actual,MBIE,349,F
2015,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2015,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,167865,R
2015,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-12009,R
2015,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,9351,R
2016,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,97830,R
2016,Biogas,Generation,Gigawatt hours,Actual,MBIE,248,R
2016,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2016,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,103355,R
2016,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-5525,R
2016,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5870,R
2016,Coal,Generation,Gigawatt hours,Actual,MBIE,1389,F
2016,Gas,Generation,Gigawatt hours,Actual,MBIE,6209,R
2016,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2952315,R
2016,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7484,F
2016,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.17,F
2016,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,3164219,R
2016,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,-211904,R
2016,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,177139,R
2016,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9773373,R
2016,Hydro,Generation,Gigawatt hours,Actual,MBIE,24775,R
2016,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.58,F
2016,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,10591203,R
2016,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-817830,R
2016,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,586402,R
2016,Oil,Generation,Gigawatt hours,Actual,MBIE,1,F
2016,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13925378,R
2016,Renewable,Generation,Gigawatt hours,Actual,MBIE,35300,R
2016,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.82,F
2016,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,14982253,R
2016,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-1056875,R
2016,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,835523,R
2016,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.82,F
2016,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,16090,R
2016,Solar,Generation,Gigawatt hours,Actual,MBIE,41,R
2016,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2016,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,9960,R
2016,Solar,Other changes,Dollars,Thousands,Environmental Accounts,6129,R
2016,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,965,R
2016,Total generation,Generation,Gigawatt hours,Actual,MBIE,42949,R
2016,Total generation,Prices,Number,Average,Electricity Authority,62,F
2016,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1016558,R
2016,Waste heat,Generation,Gigawatt hours,Actual,MBIE,50,F
2016,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,948803,R
2016,Wind,Generation,Gigawatt hours,Actual,MBIE,2405,R
2016,Wind,Gigawatt hours,Number,Proportion,MBIE,0.06,F
2016,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,957659,R
2016,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-8856,R
2016,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,56928,R
2016,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,136967,R
2016,Wood,Generation,Gigawatt hours,Actual,MBIE,347,F
2016,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2016,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,155856,R
2016,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-18889,R
2016,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8218,R
2017,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,95536,R
2017,Biogas,Generation,Gigawatt hours,Actual,MBIE,265,R
2017,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2017,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,97830,R
2017,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-2294,R
2017,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5732,R
2017,Coal,Generation,Gigawatt hours,Actual,MBIE,819,F
2017,Gas,Generation,Gigawatt hours,Actual,MBIE,5149,R
2017,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2653292,R
2017,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7351,F
2017,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.17,F
2017,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2952315,R
2017,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,-299024,R
2017,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,159198,R
2017,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9388348,R
2017,Hydro,Generation,Gigawatt hours,Actual,MBIE,26010,R
2017,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.61,F
2017,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9773373,R
2017,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-385024,R
2017,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,563301,R
2017,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2017,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13133861,R
2017,Renewable,Generation,Gigawatt hours,Actual,MBIE,36387,R
2017,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.86,F
2017,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13925378,R
2017,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-791517,R
2017,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,788032,R
2017,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.86,F
2017,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,21798,R
2017,Solar,Generation,Gigawatt hours,Actual,MBIE,60,R
2017,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2017,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,16090,R
2017,Solar,Other changes,Dollars,Thousands,Environmental Accounts,5708,R
2017,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,1308,R
2017,Total generation,Generation,Gigawatt hours,Actual,MBIE,42410,R
2017,Total generation,Prices,Number,Average,Electricity Authority,52,F
2017,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,918474,R
2017,Waste heat,Generation,Gigawatt hours,Actual,MBIE,51,F
2017,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,856321,R
2017,Wind,Generation,Gigawatt hours,Actual,MBIE,2372,R
2017,Wind,Gigawatt hours,Number,Proportion,MBIE,0.06,F
2017,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,948803,R
2017,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-92483,R
2017,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,51379,R
2017,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,118567,R
2017,Wood,Generation,Gigawatt hours,Actual,MBIE,328,F
2017,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2017,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,136967,R
2017,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-18400,R
2017,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,7114,R
2018,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,79123,P
2018,Biogas,Generation,Gigawatt hours,Actual,MBIE,257,P
2018,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,P
2018,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,95536,P
2018,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-16414,P
2018,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,4747,P
2018,Coal,Generation,Gigawatt hours,Actual,MBIE,1273,P
2018,Gas,Generation,Gigawatt hours,Actual,MBIE,6962,P
2018,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2258252,P
2018,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7342,P
2018,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.17,P
2018,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2653292,P
2018,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,-395039,P
2018,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,135495,P
2018,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7554059,P
2018,Hydro,Generation,Gigawatt hours,Actual,MBIE,24558,P
2018,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,P
2018,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9388348,P
2018,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-1834289,P
2018,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,453244,P
2018,Oil,Generation,Gigawatt hours,Actual,MBIE,6,P
2018,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,10602699,P
2018,Renewable,Generation,Gigawatt hours,Actual,MBIE,34469,P
2018,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.81,P
2018,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13133861,P
2018,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-2531163,P
2018,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,636162,P
2018,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.81,P
2018,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,24798,P
2018,Solar,Generation,Gigawatt hours,Actual,MBIE,81,P
2018,Solar,Gigawatt hours,Number,Proportion,MBIE,0,P
2018,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,21798,P
2018,Solar,Other changes,Dollars,Thousands,Environmental Accounts,3000,P
2018,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,1488,P
2018,Total generation,Generation,Gigawatt hours,Actual,MBIE,42755,P
2018,Total generation,Prices,Number,Average,Electricity Authority,86,P
2018,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,789087,P
2018,Waste heat,Generation,Gigawatt hours,Actual,MBIE,45,P
2018,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,593961,P
2018,Wind,Generation,Gigawatt hours,Actual,MBIE,1931,P
2018,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,P
2018,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,856321,P
2018,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-262360,P
2018,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,35638,P
2018,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,92506,P
2018,Wood,Generation,Gigawatt hours,Actual,MBIE,301,P
2018,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,P
2018,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,118567,P
2018,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-26061,P
2018,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,5550,P
